Sloka,Prose
śvetābhraghanarājīva vāyuputrānugāminītasya sā śuśubhe chāyā vitatā lavaṇāmbhasi,vāyuputrānugāminī lavaṇāmbhasi vitatā tasya sā chāyā śvetābhraghanarājīva śuśubhe
ebhiḥ pradharṣitāścaiva vānarā vanarakṣibhiḥmadhūnyacintayitvemān bhakṣayanti pibanti ca,ebhiḥ vanarakṣibhiḥ pradharṣitāścaiva vānarāḥ imān acintayitvā madhūni bhakṣayanti pibanti ca
tatsarassamatikramya naṣṭacandradivākaramanakṣatragaṇaṃ vyoma niṣpayodamanāditam,tat saraḥ samatikramya naṣṭacandradivākaram anakṣatragaṇam niṣpayodam anāditam vyoma
sa mahātmā muhūrtena sarvataḥ salilāvṛtaḥ darśayāmāsa śṛṅgāṇi sāgareṇa niyojitaḥādityodayasaṅkāśairālikhadbhirivāmbaramśātakumbhamayaiḥ śṛṅgaiḥ sakinnaramahoragaiḥ,sakinnaramahoragaiḥ ādityodayasaṅkāśaiḥ sarvataḥ salilāvṛta: ambaram ālikhadbhi: iva śātakumbhamayaiḥ śṛṅgaiḥ sarvataḥ salilāvṛtaḥ saḥ mahātmā sāgareṇa niyojitaḥ muhūrtena śṛṅgāṇi darśayāmāsa
vacanādeva tāstasya sughorā rākṣasīgaṇāḥkṛtaprāñjalayo bhūtvā maithilīṃ paryavārayan,sughorāḥ tāḥ rākṣasīgaṇāḥ tasya vacanādeva kṛta prāñjalayaḥ bhūtvā maithilīm paryavārayan
gamiṣyāmyahamekākītiṣṭhatvihabalaṃmama adyatān kṣubhitān kruddhobhakṣayiṣyāmivānarān,aham ekākī gamiṣyāmi me balam iha tiṣṭhā kṣubhitān kruddhaḥ adya tān vānarān bhakṣayiṣyāmi
tato vetasaśākhāśca jambūśākhāśca vīryavāncakāra lakṣmaṇaśchitvā sītāyā ssukhamāsanam,tata: vīryavān lakṣmaṇa: vetasaśākhāśca jambūśākhāśca chitvā sītāyā: sukham āsanam cakāra
te samīkṣya samāyāntaṃ rāmapriyacikīrṣavaḥsahasotpatitāssarve svāsanebhyassasambhramāḥ,rāmapriyacikīrṣavaḥ te sarve samāyāntam samīkṣya sasaṃbhramāḥ sahasā āsanebhyaḥ utpatitāḥ
vimānairnagarākārairhayairgajavaraistadā pāriplavagataiścāpi devatāstatra viṣṭhitā:,tadā devatā: nagarākārai: vimānai: pāriplavagatai: hayai: gajavarai: tatra viṣṭhitā:
abhigamya mahābāhuṃ rāmamakliṣṭakāriṇamsthitāḥ prāñjalayassarve pitāmahamivarṣayaḥ,sarve pitāmaham ṛṣayaḥ iva mahābāhum akliṣṭakāriṇam rāmam abhigamya prāñjalayaḥ sthitāḥ
tadā hutāśanaṃ hutvā jepustasya tadṛtvijaḥjaguśca te yathāśāstra tatra sāmāni sāmagāḥ,tadā tadṛtvijaḥ tasya hutāśanam hutvā jepuḥ tatra te sāmagāḥ yathāśāstram sāmāni jaguśca
naivāyodhyāṃ gamiṣyāmo nagamiṣyāma daṇḍakānkuśalaṃ bharatasyāstu rāmasyāstu tathā sukham,ayodhyām na gamiṣyāmaḥ daṇḍakān na gamiṣyāmaḥ bharatasya kuśalam astu tathā rāmasya sukham astu
tatastaiścoditā sā nauḥ karṇadhārasamāhitāśubhasphyavegābhihatā śīghraṃ salilamatyagāt,tataḥ karṇadhārasamāhitā sā nauḥ taiḥ coditā śubhasphyavegābhihatā śīghram salilam atyagāt
ekamekāyane durge niśśvasantaṃ kathañcanasamīkṣya duḥkhitataro rāmassaumitrimabravīt,durge ekāyane ekam kathañcana niśśvasantam samīkṣya rāmaḥ duḥkhitataraḥ saumitrim abravīt
dharmabandhena baddho'smi tenemāṃ neha mātaramhanmitīvreṇa daṇḍena daṇḍārhāṃ pāpakāriṇīm,dharmabandhena baddhaḥ asmi tena iha daṇḍārhām pāpakāriṇīm imāṃ mātaram tīvreṇa daṇḍena na hanmi
vṛkṣebhyo'nye tu kapayo nadanto madhudarpitāḥ anye vṛkṣānprapadyante prapibantyapi cāpare,anye kapayaḥ madhudarpitāḥ vṛkṣebhyaḥ nadantaḥ anye vṛkṣān prapadyante apare prapibanti
mamāpituvivakṣā'stikācitprativibhīṣaṇam śrotumicchāmitatsarvaṃbhavadbhiśśreyasisthitaiḥ,vibhīṣaṇaṃprati: mamāpi: kācit vivakṣā: āsti: śreyasi: sthitaiḥ bhavadbhiḥ tat śrotum icchāmi:
krodhād dviddviguṇatāmrākṣaḥpitṛstulyaparākramaḥ śilāṃtāṃpātayāmāsadhūmrākṣasyarathaṃprati,pitṛ : tulyaparākramaḥ krodhāt dviguṇatāmrākṣaḥ dhūmrākṣasya rathaṃprati tāṃśilām pātayāmāsa
sā sma yāti divārātraṃ mahatī harivāhinī prahṛṣṭamuditāssenā sugrīveṇābhipālitāḥ vānarāstvaritaṃ yānti sarve yuddhābhinandinaḥ pramokṣayiṣava ssītāṃ muhūrtaṃ kvāpi nāvasan,mahatī sā harivāhinī divārātram yatī sma sugrīveṇa abhipālitāḥ sarve vānarāḥ prahṛṣṭamuditāḥ sarve yuddhābhinandinaḥ tvaritāḥ yānti sītām pramokṣayiṣvaḥ kvāpi muhūrtam vāsan
tataḥprahastaṃniryāntaṃdṛṣṭavābhīmaparākramam uvācasasmitaṃrāmovibhīṣaṇamarindamaḥ,tataḥ arindamaḥ rāmaḥ niryāntam bhīmaparākramam prahastam dṛṣṭavā vibhīṣaṇam sasmitam uvāca
kuśacīrājinadharaṃ phalamūlāśinaṃ ca māmviddhi praṇihitaṃ dharme tāpasaṃ vanagocaram,mām kuśacīrājinadharam phalamūlāśinam dharme praṇihitam vanagocaram tāpasam viddhi
lakṣmaṇasyavacaśśrutvāhetumatparamārthavat atikāyaḥpracukrodhabāṇaṃcottamamādade,lakṣmaṇasya hetumat paramārthavat vacaḥ śrutvā atikāyaḥ pracukrodha uttamam bāṇam ādade ca
vidrutāśca bhayatrastā vinedurmṛgapakṣiṇaḥrakṣasāṃ ca nimittāni krūrāṇi pratipedire,mṛgapakṣiṇaḥ vidrutā: bhayatrastāḥ vineduḥ rakṣasāṃ ca krūrāṇi nimittāni pratipedire
cakāra surasā vaktramaśītīyojanāyatamhanumānacalaprakhyo navatīyojanocchritaḥ,surasā vaktram aśītīyojanāyatam cakāra acalaprakhyaḥ hanumān navatīyojanocchritaḥ
sacandratārāgaṇamaṇḍitaṃ yathā nabhaḥ kṣapāyāmamalaṃ virājatenarendramārgassa tathā vyarājata krameṇa ramyaḥ śubhaśilpinirmitaḥ,sacandratārāgaṇamaṇḍitam amalam nabhaḥ kṣapāyām yāthā virājate krameṇa śubhaśilpinirmitaḥ ramyaḥ saḥ narendramārgaḥ tathā vyarājata
śarāṇāmagratastasya punaḥ samabhivartataprasārya hastau hanumānutpapātānilātmajaḥ,anilātmajaḥ hanumān punaḥ tasya śarāṇām agrataḥ samabhivartata hastau prasārya utpapāta
ṛṣayaścamahānto'pigandharvāścayaśasvinaḥ nanunāmatavodvegāccāraṇāścadiśogatāḥ,tava udvegāt mahāntaḥ ṛṣayaḥ yaśasvinaḥ gandharvāśca cāraṇāḥ diśaḥ gatāḥ nanunāma
pratyakṣaṃ yadyahaṃ tasya tvayā syāṃ dharṣitā balātśayitā tvaṃ hatassaṃkhye janasthāne yathā kharaḥ,aham tvayā tasya pratyakṣam balāt dharṣitā syāṃ yadi tvam janasthāne kharaḥ yathā hataḥ śayitā
rājadharmaviruddhaṃ ca lokavṛtteśca garhitamtava cāsadṛśaṃ vīra kaperasya pramāpaṇam,vīra asya kapeḥ pramāpaṇam rājadharmaviruddhaṃ ca lokavṛtteśca garhitam tava ca asadṛśam
āśramaṃ tasya dharmajña dhārmikasya mahātmanaḥ ācakṣva katamo mārgaḥ kiyāniti ca śaṃsa me,dharmajña dhārmikasya tasya mahātmanaḥ āśramam ācakṣva katamaḥ mārgaḥ kiyān iti ca me śaṃsa
yathā ca tava kaikeyī sumitrā ca viśeṣataḥtathaiva devī kauśalyā mama mātā viśeṣataḥ,tava kaikeyī yathā ca sumitrā ca viśeṣataḥ devī viśeṣataḥ mama mātā kauśalyā tathaiva
nānāsattvasamākīrṇaṃ daityendranilayopamam durdarśamatighoraṃ ca durvigāhaṃ ca sarvaśaḥ,nānāsattvasamākīrṇam daityendranilayopamam durdarśam ati ghoram sarvaśaḥ durvigāhyaṃ ca
sa prāñjalirabhipretya praṇataḥ piturantike nāma svaṃ śrāvayanrāmo vavande caraṇau pituḥ,saḥ rāmaḥ prāñjaliḥ abhipretya pituḥ antike praṇataḥ svam nāma śrāvayan pituḥ caraṇau vavande
yāvadeva na jānāti kaścidarthamimaṃ naraḥtāvadeva mayā sārdhamātmasthaṃ kuru śāsanam,kaścit naraḥ imam artham yāvadeva na jānāti tāvadeva mayā sādhe śāsanam ātmastham kuru
avaruhya tato bhūmiṃ śrāntā vigatacetasaḥsthitvā muhūrtaṃ tatrātha vṛkṣamūlamupāśritāḥ,tataḥ bhūmim avaruhya śrāntāḥ vigatacetasaḥ tatra muhūrtam sthitvā atha vṛkṣamūlam upāśritāḥ
mahiṣo dundubhirnāma kailāsaśikharaprabhaḥbalaṃ nāgasahasrasya dhārayāmāsa vīryavān,kailāsaśikharaprabhaḥ vīryavān mahiṣaḥ dundubhiḥ nāma nāgasahasrasya balam dhārayāmāsa
sapramādāvadivṛddhaste'dharmohigrasatehinaḥ vivarthayatipakṣaṃcasurāṇāṃsurabhāvanaḥ,te pramadāt vadivṛddhaḥ saḥ adharmaḥ vaḥ grasatehi surabhāvanaḥ surāṇām pakṣam vivarthayatica
saśaraissūryasaṅkāśaissumuksaiśaśīghragāmibhiḥ vānarāṇāmanīkāninirmamanthamahāraṇe,saḥ sūryasaṅkāśaiḥ sumuksaiḥ śīghragāmibhiḥ śaraiḥ mahāraṇe vānarāṇām anīkāni nirmamantha
tamantakamivakruddhaṃsadrumaṃprāṇahāriṇam hanūmantamabhiprekṣyarākṣasāvipradudruvuḥ,kruddham antakamiva sadrumam prāṇahāriṇam taṃhanūmantam abhiprekṣya rākṣasāḥ vipradudruvuḥ
ātmānamanutiṣṭhatvaṃ svabhāvena nararṣabhaniśāmyatu śubhaṃ vṛttaṃ piturdaśarathasya naḥ,nararṣabha naḥ pituḥ daśarathasya śubham vṛttam niśāmya tvam ātmānam svabhāvena anutiṣṭha
kāvyaṃ rāmāyaṇaṃ kṛtsnaṃ sītāyāścaritaṃ mahatpaulastyavadhamityeva cakāra caritavrata:,caritavrata: kṛtsnam kāvyam rāmāyaṇam sītāyā: mahat caritam paulastyavadham ityeva cakāra
kathamapyamaraprakhyaṃ saṅgrāmāṇāmakovidambālaṃ me tanayaṃ brahman naiva dāsyāmi putrakam,brahman amaraprakhyam saṅgrāmāṇām akovidam bālaṃ putrakam me tanayam kathamapi naiva dāsyāmi
divyāṅgarāgāṃvaidehīṃdivyābharaṇabhūṣitām ihasītāṃśiraḥsnātāmupasthāpayamāciram,śiraḥsnātām divyāṅgarāgām divyāyabharaṇabhūṣitām sītām iha upasthāpaya ciram mā
tatassa mathitāṣṭāśvaṃ rathaṃ bhagnākṣakūbaram vihāya nyapatadbhūmau durdharastyaktajīvitaḥ,tataḥ saḥ mathitāṣṭāśvam bhagnākṣakūbaram ratham vihāya tyaktajīvitaḥ bhūmau nyapatat
mahodaretunihatemahāpārśvomahābalaḥ sugrīveṇasamīkṣyāthakrodhātsamraraktalocanaḥ aṅgadasyacamūṃbhīmāṃkṣobhayāmāsasāyakaiḥ,sugrīveṇa mahodare nihate mahābalaḥ mahāpārśvaḥ samīkṣya atha krodhasamraktalocanaḥ sāyakaiḥ aṅgadasya bhīmām camūm kṣobhayāmāsa
senāpatīnpañca sa tu pramāpitān hanūmatā sānucarānsavāhanānsamīkṣya rājā samaroddhatonmukhaṃ kumāramakṣaṃ prasamaikṣatāgrataḥ,rājā sānucarān savāhanān pañca senāpatīn hanumatā pramāpitān samīkṣya samaroddhatonmukham agrataḥ kumāram akṣam prasamaikṣata
jaṭādharau tau drumacīravāsasau mahābalau kuñjarayūthapopamauvareṣucāpāsidharau parantapau vyapekṣamāṇau saha sītayā gatau,jaṭādharau drumacīravāsasau mahābalau kuñjarayūthapopamau vareṣucāpāsidharau tau parantapau vyapekṣamāṇau sītayā saha gatau
yaissāyakaissālavarānikṛttāvālīhatovānarapuṅgavaśca tekumbhakarṇasyatadāśarīraṃvajropamaṃ na vyadhayāṃpracakruḥ,yaiḥ sāyakaiḥ sālavarāḥ nikṛttāḥ vānarapuṅgavaḥ vālī ca hataḥ te tadā vajropamam kumbhakarṇasyaśarīram na vyadhayāṃpracakruḥ
tasyakruddhasyaroṣeṇagadāṃtāṃbahukaṇṭakām pātayāmāsadhūmrākṣomastake'thahanūmataḥ,atha dhūmrākṣaḥ bahukaṇṭakām tāṃgadām kruddhasya tasyahanūmataḥ mastake roṣeṇa pātayāmāsa
brāhmaṇaścātithiścāyamanukto hi śapeta māmiti dhyātvā muhūrtaṃ tu sītā vacanamabravīt,brāhmaṇaśca atithiśca ayam anuktaḥ mām śapeta hi iti muhūrtam dhyātvā sītā vacanam abravīt
niyuktoya: paraṃ kāryaṃ na kuryānnṛpateḥ priyam bhṛtyo'bhṛtyassamartho'pi tamāhurmadhyamaṃ naram,yaḥ bhṛtyaḥ samartha: abhṛtya: niyuktaḥ nṛpate: priyam: kāryam: param: nakuryāt: tam: naram: ahu:
paścimāṃ tu bhṛśaṃ ghorāṃ suṣeṇaḥ plavageśvaraḥpratasthe hariśārdūlo diśaṃ varuṇapālitām,plavageśvaraḥ hariśārdūlaḥ suṣeṇaḥ varuṇapālitām diśam bhṛśam ghorām paścimāṃ diśam pratasthe
sarvepramattāviśvastāvañcitāssmahanūmatā nahimejīvatogacchejjīvan savanagocaraḥ,apramattā: viśvastāḥ sarve: hanūmatā: vañcitāḥsma: me: jīvataḥ saḥ vanagocaraḥ jīvan nagacchet hi:
adharṣitānāṃ śūrāṇāṃ samareṣvanivartināmdharṣaṇāmarṣaṇaṃ bhīru maraṇādatiricyate,bhīru samareṣu anivartinām adharṣitānām śūrāṇām dharṣaṇāmarṣaṇam maraṇāt atiricyate
sa nikṛtto'patadbhūmaurāvaṇasyandanadhvajaḥ dhvajasyonmathanaṃdṛṣṭavārāvaṇassamahābalaḥ sampradīpto'bhavatkrodhādamarṣātprahasanniva sa roṣavaśamāpannaśśaravarṣaṃvavarṣa ha,saḥ rāvaṇasyandanadhvajaḥ bhūmau apatat mahābalaḥ saḥrāvaṇaḥ dhvajasya unmadhanam dṛṣṭavā amarṣāt prahasanniva krodhāt sampradīptaḥ abhavat saḥ roṣavaśam āpannaḥ śaravarṣam vavarṣa ha
vajradaṃṣṭro'ṅgadaścobhausaṅgatauharirākṣasau ceratuḥparamakruddhauharimattagajāviva,vajradaṃṣṭraḥ aṅgadaśca ubhau harirākṣasau saṅgatau harimattagajāmiva paramakruddhau ceratuḥ
sarvathā dharma ityeva draṣṭavyastava nigrahaḥ vayasyasyopakartavyaṃ dharmamevānupaśyataḥ,tava nigrahaḥ sarvathā dharmaḥ ityeva draṣṭavyaḥ dharmam anupaśyata: vayasyasya upakartavyam eva
rāmo hi bharatādbhūyastava śuśrūṣate sadāviśeṣaṃ tvayi tasmāttu bharatasya na lakṣaye,rāmaḥ bharatāt bhūyaḥ sadā tava śuśrūṣate tasmāttu tvayi bharatasya viśeṣam na lakṣaye
guhādvāre ca saumitre śilā samatalā śubhāślakṣṇā caivāyatā caiva bhinnāñjanacayopamā,saumitre guhādvāre samatalā śubhā ślakṣṇā āyatācaiva bhinnāñjanacayopamā śilā
vīrabāhuḥsubāhuścanalaścavanagocaraḥ nipīḍyopaniviṣṭāsteprākāraṃhariyūthapāḥ etasminnantarecakruḥskandhāvāraniveśanam,vīrabāhuḥ subāhuśca nala vanagocaraḥ nipīḍyopa niviṣṭāste prākāraṃ hariyūthapāḥ etasminnantare cakruḥ skandhāvāraniveśanam
dhigastu māṃ sudurbuddhiṃ nirlajjaṃ pāpakṛttamamacintayitvā tāṃ sītāmagnidaṃ svāmighātukam,tāṃ sītām acintayitvā agnidam svāmighātukam sudurbuddhim nirlajjam pāpakṛttamam mām dhik astu
taṃ tu khasthaṃ mahābhāgaṃ kabandhaṃ rāmalakṣmaṇauprasthitau tvaṃ vrajasveti vākyamūcaturantike,prasthitau tau rāmalakṣmaṇau antike khastham mahābhāgam taṃ kabandham tvam vrajasva iti vākyam ūcatuḥ
rāmastubahubhirhṛṣṭarninadadbhiḥplavaṅgamaiḥ vṛtoripuvadhākāṅkṣīyuddhāyaivābhyavartata,rāmastu hṛṣṭaiḥ vinadadbhiḥ bahubhiḥ plavaṅgamaiḥ vṛtaḥ ripuvadhākāṅkṣī yuddhāyaiva abhyavartata
yautaupaśyasitiṣṭhantaukumāraudevarūpiṇau maindaścadvividaścobhautābhyāṃnāstisamoyudhi,tiṣṭhantau devarūpiṇau kumārau yau paśyasi tau maindaśca dvividhaścobhau yudhi tābhyām samaḥ nāsti
maṅgalālambhanaiścāpi śobhitā: kṣaumavāsasa: devatāyatanānyāśu sarvāstā: pratyapūjayan,tā: sarvā: maṅgalālambhanaiścāpi śobhitā: kṣaumavāsasa: āśu devatāyatanāni pratyapūjayan
sudhṛterapi dharmātmā dṛṣṭaketussudhārmika:dṛṣṭaketostu rājarṣerharyaśva iti viśruta:,sudhṛte: dharmātmā sudhārmika: dṛṣṭaketu: rājarṣe: dṛṣṭaketo: haryaśva: iti viśruta:
anta:purastriyassarvāśśāntāṃ dṛṣṭvā tathāgatāmsaha bhartrā viśālākṣīṃ prītyānandamupāgaman,anta:pura striya: sarvā: tathā bhartrā saha āgatām viśālākṣīm śāntām dṛṣṭvā prītyā ānandam upāgaman
śarairnirbhinnahṛdayānkuñjarāṃsturagāṃstathāśvāpadāḥ parikarṣantu narāṃśca nihatānmayā,śaraiḥ nirbhinnahṛdayān kuñjarān tathā turagān mayā nihatān narāṃśca śvāpadāḥ parikarṣantu
vānarādhipatiśśīmānsugrīvaḥ kaccideṣyatimatkṛte haribhirvīrairvṛto dantanakhāyudhaiḥ,matkṛte śrīmān vānarādhipatiḥ sugrīvaḥ dantanakhāyudhai: vīraiḥ haribhiḥ vṛtaḥ eṣvati kaccit
tenātividdhautauvīraurukmapuṅkhaiḥsusamhataiḥ babhūvaturdhāśarathīpuṣpitāmivakiṃśukau,susamhataiḥ rukmapuṅkhaiḥ tena atividdhau vīrau taudāśarathī puṣpitau kiṃśukauiva babhūvatuḥ
tamuvāca mahātejā: sarvalokapitāmahambhagīratho mahābhāga: kṛtāñjalirupasthita:,mahātejā: mahābhāga: bhagīrathaḥ kṛtāñjali: upasthita: taṃ sarvalokapitāmaham uvāca
ihatvaṃsvasthahṛdayastiṣṭhasattvasamucchritaḥ lakṣmaṇaṃpreṣayāsmābhissahasainyānukarṣibhiḥ,tvam svasthahṛdayaḥ sattvasamucchritaḥ iha tiṣṭha sainyānukarṣibhiḥ asmābhiḥsaha lakṣmaṇam preṣaya
sāvegitābalavatārāvaṇenadurātmanā jajvālasumahātejādīptāśanisamaprabhā,balavatā durātmanā rāvaṇena vegitā sumahātejāḥ dīptāśanisamaprabhā sā jajvāla
tadadya naivānagha rājyamavyayaṃna sarvakāmānna sukhaṃ na maithilīmna jīvitaṃ tvāmanṛtena yojayanvṛṇīya satyaṃ vratamastu te tathā,anagha tat adya tvām anṛtena yojayan avyayam rājyam naiva vṛṇīya sarvakāmān na sukham na maithilīm na jīvitam na te vratam tathā satyam astu
tatastāssahitāssarvā nihatāśā nirudyamāḥ parikṣipya samantāttāṃ nidrāvaśamupāgatāḥ,tataḥ sarvāḥ tāḥ sahitāḥ nihatāśāḥ nirudyamāḥ tām samantāt parikṣipya nidrāvaśam upāgatāḥ
na pitā nātmajo nātmā na mātā na sakhījanaḥiha pretya ca nārīṇāṃ patireko gatissadā,pitā na ātmajaḥ na ātmā na mātā na sakhījanaḥ na nārīṇām iha pretya ca sadā ekaḥ patiḥ gatiḥ
sa lakṣmaṇaṃ bhīmabalaṃ sarvavānarasattamaḥabravītpraśritaṃ vākyaṃ sugrīva ssampraharṣayan,sarvavānarasattamaḥ saḥ sugrīvaḥ bhīmabalam lakṣmaṇam sampraharṣayan praśritam vākyam abravīt
hanumān paścimadvāraṃrarakṣabalavānkapiḥ pramāthipraṣubhyāṃcavīrairanyaiścasaṅgataḥ,balavān kapiḥ hanumān pramāthipraṣubhyāṃca anyaiḥ vīraiśca saṅgataḥ paścimadvāram rarakṣa
tatasturājānamudīkṣyadīnaṃśokārṇavesamparipupluvānam ratharṣabhorākṣasarājasūnustamindrajidvākyamidaṃbabhāṣe,tataḥ dīnam śokārṇave samparīpupluvānam rājānam udīkṣya ratharṣabhaḥ rākṣasarājasūnuḥ indrandrajit tam idaṃvākyam babhāṣe
aṅgāracūrṇotkarasannikāśaiḥ phalaissuparyāptarasaissamṛddhaiḥjambūdrumāṇāṃ pravibhānti śākhāḥnilīyamānā iva ṣaṭpadaughaiḥ,aṅgāracūrṇotkarasannikāśaiḥ phalaissuparyāptarasai: samṛddhaiḥ jambūdrumāṇāṃ pravibhānti śākhā: nilīyamānā iva ṣaṭpadaughaiḥ
yattukāryaṃvayasyenasnigdhena ca hitena ca kṛtaṃsugrīvatatsarvaṃbhavatādharmabhīruṇā kiṣkindhāṃpratiyāhyāvusvasainyenābhisamvṛtaḥ,sugrīva snigdhena hitena ca vayasyena yat tu kāryam tat sarvam dharmabhīruṇā bhavatā kṛtam āśu svasainyena abhisamvṛtaḥ kiṣkindhām yāhi
jaṭābhāradharasyaiva valkalājinavāsasaḥko vadhena mamarthī syātkiṃvā'syāpakṛtaṃ mayā,jaṭābhāradharasyaiva valkalājinavāsasaḥ mama vadhena arthī kaḥ syāt mayā asya kiṃ vā apakṛtam
rāvaṇenapraṇihitaṃtamavehivibhīṣaṇam tasyāhaṃnigrahaṃmanyekṣamaṃkṣamavatāṃvara,kṣamavatāṃvara: tam vibhīṣaṇam rāvaṇena: praṇihitam avehi: tasya: nigraham kṣamam manye:
pitāmahavarotsekātparamaṃ darpamāsthitauamṛtaprāśināvetau sarvavānarasattamau,pitāmahavarotsekāt paramam darpam āsthitau etau vānarasattamau amṛtaprāśinau
nirgacchati mahābāhau rāme paurajanāśrubhiḥpatitairabhyavahitaṃ praśaśāma mahīrajaḥ,mahābāhau rāme nirgacchati abhyavahitam mahīrajaḥ patitaiḥ paurajanāśrubhiḥ praśaśāma
śirobhiḥ pṛthubhiḥ sarpā vyaktasvastikalakṣaṇaiḥvamantaḥ pāvakaṃ ghoraṃ dadaṃśurdaśanaiḥ śilāḥ,sarpāḥ vyaktasvastikalakṣaṇaiḥ pṛthubhiḥ śirobhiḥ ghoram pāvakam vamantaḥ daśanaiḥ śilāḥ dadaṃśuḥ
vānarāstu mahātmāno hastaruddhamukhāstadānimeṣāntaramātreṇa bilāduttāritāstayā,tadā hastaruddhamukhāḥ mahātmānaḥ vānarāḥ tayā nimeṣāntaramātreṇa bilāt uttāritāḥ
varṣeṇaivāgataṃ vipraṃ viṣayaṃ svaṃ narādhipa:pratyudgamya muniṃ prahvaśśirasā ca mahīṃ gata:,narādhipaḥ varṣeṇaiva svam viṣayam āgatam munim vipram pratyudgamya prahva: śirasā mahīm gata:
evamuktastu sauhārdāllakṣmaṇena samāhitaḥ saha saumitriṇā rāmo vicetumupacakrame,lakṣmaṇena sauhārdāt evam uktaḥ rāmaḥ samāhitaḥ saumitriṇā saha vicetum upacakrame
śakraṃ yāścopatiṣṭhanti brahmāṇaṃ yāśca yoṣitaḥsarvāstumburuṇā sārdhamāhvaye saparicchadāḥ,yāśca yoṣitaḥ śakram upatiṣṭhanti yāśca brahmāṇam saparicchadāḥ sarvāḥ tumburuṇā sārdham āhvaye
hṛṣyantyṛtumukhaṃ dṛṣṭvā navaṃ navamihāgatamṛtūnāṃ parivartena prāṇināṃ prāṇasaṅkṣayaḥ,ṛtumukham dṛṣṭvā iha navaṃ navam āgatam hṛṣyanti ṛtūnām parivartena prāṇinām prāṇasaṅkṣayaḥ
sā bhīmavegā samarābhikāmā mahābalā rākṣasavīrasenātau rājaputrau sahasābhyupetā mālā grahāṇāmiva candrasūryau,bhīmavegāḥ samarābhikāmāḥ mahābalāḥ sā rākṣasavīrasenā sahasā grahāṇām mālā candrasūryau iva tau rājaputrau abhyupetā:
rāghavasyavacaśśrutvāpratyuvācavibhīṣaṇaḥ eṣasenāpatistasyaprahastonāmarākṣasaḥ laṅkāyāṃrākṣasendrasyatribhāgabalasamvṛtaḥ vīryavānastravicchūraḥsuprakhyāścaparākrame,rāghavasya vacaḥ śrutvā vibhīṣaṇaḥ pratyuvāca eṣaḥ laṅkāyām tribhāgabalasamvṛtaḥ vīryavān astravit śūraḥ suprakhyāścaparākramaḥ tasyarākṣasendrasya senāpatiḥ prahastonāma rākṣasaḥ
na māturna pitustatra smariṣyāmi na veśmanaḥārtavānyupabhuñjānā puṣpāṇi ca phalāni ca,tatra ārtavāni puṣpāṇi phalāni ca upabhuñjānā mātuḥ na smariṣyāmi pituḥ na veśmanaḥ na
naivaṃraṇagatāḥśūrāḥpraharantiniśācara laghavaścālpavīryāścaśarāsukhāstavahīme,niśācara raṇagatāḥ śūrāḥ evam praharanti tava imeśarāḥ laghavaśca alpavīryāśca sukhāḥhi
hatānmantrisutān buddhvā vānareṇa mahātmanārāvaṇassaṃvṛtākāraścakāra matimuttamām,rāvaṇaḥ mahātmanā vānareṇa mantrisutān hatān buddvā saṃvṛtākāraḥ uttamām matim cakāra
tāṃ dṛṣṭvā śokasantaptāṃ vajrapāṇiryaśasvinīmindraḥ prāñjalirudvigna ssurarājo'bravīdvacaḥ,vajrapāṇiḥ surarājaḥ indraḥ śokasantaptām yaśasvinīm tām dṛṣṭvā udvignaḥ prāñjaliḥ vākyam abravīt
saphalāṃ ca kariṣyāmi pratijñāṃ jahi sambhramamprasūtaṃ kalamaṃ kṣetre varṣeṇeva śatakratuḥ,śatakratuḥ varṣeṇa prasūtam kalamaṃ kṣetram iva pratijñām saphalām kariṣyāmi sabhramam jahi
anarthamartharūpeṇa grāhitā sā tatastayā hṛṣṭā pratītā kaikeyī mantharāmidamabravīt,tayā anartham artharūpeṇa grāhitā sā kaikeyī tata: pratītā hṛṣṭā mantharām idam abravīt
tataḥsahasrayūthāścakoṭīyūthāścavānarāḥ koṭīśatayutāścānyelaṅkāmāruruhustadā,tataḥ vānarāḥ sahasrayūthāśca koṭīyūthāśca koṭīśatayutāścānye laṅkāma āruruhustadā
śīlena sāmnā vinayena sītāṃ nayena na prāpsyasi cennarendratatassamutsādaya hemapuṅkhai rmahendravajrapratimaiśśaraughaiḥ,narendra śīlena sāmnā vinayena nayena sītām na prāpsyasi yadi tataḥ hemapuṅkhaiḥ mahendravajrapratimaiḥ śaraughaiḥ samutsādaya
kaccinna taddhemasamānavarṇaṃ tasyānanaṃ padmasamānagandhimayā vinā śuṣyati śokadīnaṃ jalakṣaye padmamivātapena,tasya hemasamānavarṇam padmasamānagandhi tat ānanam mayā vinā śokadīnam jalakṣaye ātapena padmamiva na śuṣyati kaccit
ityevamuktvā saṅkṛddhā rākṣasāste caturdaśacikṣipustāni śūlāni rāghavaṃ prati durjayam,saṅkṛddhāḥ te rākṣasāḥ ityevam uktvā tāni śūlāni durjayam rāghavaṃ prati cikṣipuḥ
tatodevāskasagandharvāssiddhāścaparamarṣayaḥ sādhusāvadhitirāmasyatatkarmasamapūjayan,tataḥ sagandharvāḥ devāḥ siddhāśca paramarṣayaḥ rāmasya tat karma sādhusādhuiti samapūjayan
